Judge,Judge Nat.,Contestant,Contest Nat.,Score,Placement,Contest,Role,Difference
Mike Faltesek,USA,Pontus Persson,Sweden,4,1,Inv. Strictly,Leader,3
Steven Mitchell,USA,Pontus Persson,Sweden,1,1,Inv. Strictly,Leader,0
Lennart Westerlund,Sweden,Pontus Persson,Sweden,1,1,Inv. Strictly,Leader,0
Andy Reid,USA,Pontus Persson,Sweden,3,1,Inv. Strictly,Leader,2
Valerie Salstrom,USA,Pontus Persson,Sweden,2,1,Inv. Strictly,Leader,1
Casey Schneider,USA,Pontus Persson,Sweden,1,1,Inv. Strictly,Leader,0
Kenneth Norbelie,Sweden,Pontus Persson,Sweden,1,1,Inv. Strictly,Leader,0
Nalla Kim,Korea,Pontus Persson,Sweden,4,1,Inv. Strictly,Leader,3
Helena Norbelie,Sweden,Pontus Persson,Sweden,2,1,Inv. Strictly,Leader,1
Mike Faltesek,USA,Isabella Gregorio,Sweden,4,1,Inv. Strictly,Follower,3
Steven Mitchell,USA,Isabella Gregorio,Sweden,1,1,Inv. Strictly,Follower,0
Lennart Westerlund,Sweden,Isabella Gregorio,Sweden,1,1,Inv. Strictly,Follower,0
Andy Reid,USA,Isabella Gregorio,Sweden,3,1,Inv. Strictly,Follower,2
Valerie Salstrom,USA,Isabella Gregorio,Sweden,2,1,Inv. Strictly,Follower,1
Casey Schneider,USA,Isabella Gregorio,Sweden,1,1,Inv. Strictly,Follower,0
Kenneth Norbelie,Sweden,Isabella Gregorio,Sweden,1,1,Inv. Strictly,Follower,0
Nalla Kim,Korea,Isabella Gregorio,Sweden,4,1,Inv. Strictly,Follower,3
Helena Norbelie,Sweden,Isabella Gregorio,Sweden,2,1,Inv. Strictly,Follower,1
Mike Faltesek,USA,Remy Kouakou Kouame,France,1,2,Inv. Strictly,Leader,1
Steven Mitchell,USA,Remy Kouakou Kouame,France,8,2,Inv. Strictly,Leader,6
Lennart Westerlund,Sweden,Remy Kouakou Kouame,France,5,2,Inv. Strictly,Leader,3
Andy Reid,USA,Remy Kouakou Kouame,France,1,2,Inv. Strictly,Leader,1
Valerie Salstrom,USA,Remy Kouakou Kouame,France,1,2,Inv. Strictly,Leader,1
Casey Schneider,USA,Remy Kouakou Kouame,France,2,2,Inv. Strictly,Leader,0
Kenneth Norbelie,Sweden,Remy Kouakou Kouame,France,5,2,Inv. Strictly,Leader,3
Nalla Kim,Korea,Remy Kouakou Kouame,France,2,2,Inv. Strictly,Leader,0
Helena Norbelie,Sweden,Remy Kouakou Kouame,France,3,2,Inv. Strictly,Leader,1
Mike Faltesek,USA,Ramona Staffeld,USA,1,2,Inv. Strictly,Follower,1
Steven Mitchell,USA,Ramona Staffeld,USA,8,2,Inv. Strictly,Follower,6
Lennart Westerlund,Sweden,Ramona Staffeld,USA,5,2,Inv. Strictly,Follower,3
Andy Reid,USA,Ramona Staffeld,USA,1,2,Inv. Strictly,Follower,1
Valerie Salstrom,USA,Ramona Staffeld,USA,1,2,Inv. Strictly,Follower,1
Casey Schneider,USA,Ramona Staffeld,USA,2,2,Inv. Strictly,Follower,0
Kenneth Norbelie,Sweden,Ramona Staffeld,USA,5,2,Inv. Strictly,Follower,3
Nalla Kim,Korea,Ramona Staffeld,USA,2,2,Inv. Strictly,Follower,0
Helena Norbelie,Sweden,Ramona Staffeld,USA,3,2,Inv. Strictly,Follower,1
Mike Faltesek,USA,William Mauvais,France,2,3,Inv. Strictly,Leader,1
Steven Mitchell,USA,William Mauvais,France,2,3,Inv. Strictly,Leader,1
Lennart Westerlund,Sweden,William Mauvais,France,3,3,Inv. Strictly,Leader,0
Andy Reid,USA,William Mauvais,France,4,3,Inv. Strictly,Leader,1
Valerie Salstrom,USA,William Mauvais,France,3,3,Inv. Strictly,Leader,0
Casey Schneider,USA,William Mauvais,France,8,3,Inv. Strictly,Leader,5
Kenneth Norbelie,Sweden,William Mauvais,France,3,3,Inv. Strictly,Leader,0
Nalla Kim,Korea,William Mauvais,France,3,3,Inv. Strictly,Leader,0
Helena Norbelie,Sweden,William Mauvais,France,1,3,Inv. Strictly,Leader,2
Mike Faltesek,USA,Maeva Truntzer,France,2,3,Inv. Strictly,Follower,1
Steven Mitchell,USA,Maeva Truntzer,France,2,3,Inv. Strictly,Follower,1
Lennart Westerlund,Sweden,Maeva Truntzer,France,3,3,Inv. Strictly,Follower,0
Andy Reid,USA,Maeva Truntzer,France,4,3,Inv. Strictly,Follower,1
Valerie Salstrom,USA,Maeva Truntzer,France,3,3,Inv. Strictly,Follower,0
Casey Schneider,USA,Maeva Truntzer,France,8,3,Inv. Strictly,Follower,5
Kenneth Norbelie,Sweden,Maeva Truntzer,France,3,3,Inv. Strictly,Follower,0
Nalla Kim,Korea,Maeva Truntzer,France,3,3,Inv. Strictly,Follower,0
Helena Norbelie,Sweden,Maeva Truntzer,France,1,3,Inv. Strictly,Follower,2
Mike Faltesek,USA,Thomas Blacharz,France,9,4,Inv. Strictly,Leader,5
Steven Mitchell,USA,Thomas Blacharz,France,6,4,Inv. Strictly,Leader,2
Lennart Westerlund,Sweden,Thomas Blacharz,France,4,4,Inv. Strictly,Leader,0
Andy Reid,USA,Thomas Blacharz,France,2,4,Inv. Strictly,Leader,2
Valerie Salstrom,USA,Thomas Blacharz,France,7,4,Inv. Strictly,Leader,3
Casey Schneider,USA,Thomas Blacharz,France,10,4,Inv. Strictly,Leader,6
Kenneth Norbelie,Sweden,Thomas Blacharz,France,2,4,Inv. Strictly,Leader,2
Nalla Kim,Korea,Thomas Blacharz,France,1,4,Inv. Strictly,Leader,3
Helena Norbelie,Sweden,Thomas Blacharz,France,4,4,Inv. Strictly,Leader,0
Mike Faltesek,USA,Alice Mei,France,9,4,Inv. Strictly,Follower,5
Steven Mitchell,USA,Alice Mei,France,6,4,Inv. Strictly,Follower,2
Lennart Westerlund,Sweden,Alice Mei,France,4,4,Inv. Strictly,Follower,0
Andy Reid,USA,Alice Mei,France,2,4,Inv. Strictly,Follower,2
Valerie Salstrom,USA,Alice Mei,France,7,4,Inv. Strictly,Follower,3
Casey Schneider,USA,Alice Mei,France,10,4,Inv. Strictly,Follower,6
Kenneth Norbelie,Sweden,Alice Mei,France,2,4,Inv. Strictly,Follower,2
Nalla Kim,Korea,Alice Mei,France,1,4,Inv. Strictly,Follower,3
Helena Norbelie,Sweden,Alice Mei,France,4,4,Inv. Strictly,Follower,0
Mike Faltesek,USA,Skye Hymphries,Sweden,7,5,Inv. Strictly,Leader,2
Steven Mitchell,USA,Skye Hymphries,Sweden,5,5,Inv. Strictly,Leader,0
Lennart Westerlund,Sweden,Skye Hymphries,Sweden,6,5,Inv. Strictly,Leader,1
Andy Reid,USA,Skye Hymphries,Sweden,5,5,Inv. Strictly,Leader,0
Valerie Salstrom,USA,Skye Hymphries,Sweden,10,5,Inv. Strictly,Leader,5
Casey Schneider,USA,Skye Hymphries,Sweden,5,5,Inv. Strictly,Leader,0
Kenneth Norbelie,Sweden,Skye Hymphries,Sweden,4,5,Inv. Strictly,Leader,1
Nalla Kim,Korea,Skye Hymphries,Sweden,5,5,Inv. Strictly,Leader,0
Helena Norbelie,Sweden,Skye Hymphries,Sweden,5,5,Inv. Strictly,Leader,0
Mike Faltesek,USA,Marie Nahanfeldt,Sweden,7,5,Inv. Strictly,Follower,2
Steven Mitchell,USA,Marie Nahanfeldt,Sweden,5,5,Inv. Strictly,Follower,0
Lennart Westerlund,Sweden,Marie Nahanfeldt,Sweden,6,5,Inv. Strictly,Follower,1
Andy Reid,USA,Marie Nahanfeldt,Sweden,5,5,Inv. Strictly,Follower,0
Valerie Salstrom,USA,Marie Nahanfeldt,Sweden,10,5,Inv. Strictly,Follower,5
Casey Schneider,USA,Marie Nahanfeldt,Sweden,5,5,Inv. Strictly,Follower,0
Kenneth Norbelie,Sweden,Marie Nahanfeldt,Sweden,4,5,Inv. Strictly,Follower,1
Nalla Kim,Korea,Marie Nahanfeldt,Sweden,5,5,Inv. Strictly,Follower,0
Helena Norbelie,Sweden,Marie Nahanfeldt,Sweden,5,5,Inv. Strictly,Follower,0
Mike Faltesek,USA,Dax Hox,USA,6,6,Inv. Strictly,Leader,0
